2a13:2d40::/32,DE,DE-BE,Berlin,10179
2a13:2d41::/32,FR,FR-IDF,Paris,75001
2a13:2d42::/32,NL,NL-NH,Amsterdam,1012
2a13:2d43::/32,CH,CH-ZH,Zurich, 8001
2a13:2d44::/32,SE,SE-AB,Stockholm,111 22
2a13:2d45::/32,BE,BE-BRU,Brussels,1120
2a13:2d46::/32,AT,AT-9,Vienna, 1010
2a13:2d47::/32,ES,ES-MD,Madrid,28001
2a13:d900::/32,SK,SK-BL,Bratislava,851 01
2a13:d901::/32,SI,SI-061,Ljubljana,1000
2a13:d902::/32,BA,BA-BIH,Sarajevo,
2a13:d903::/32,BG,BG-23,Sofia,
2a13:d904::/32,HR,HR-21,Zagreb,
2a13:d905::/32,CY,CY-01,Nicosia,
2a13:d906::/32,CZ,CZ-10,Prague,
2a13:d907::/32,DK,DK-84,Copenhagen,2750
2a13:2dc0::/32,EE,EE-37,Tallinn,
2a13:2dc1::/32,FI,FI-18,Helsinki,
2a13:2dc2::/32,LV,LV-RIX,Riga,
2a13:2dc3::/32,GR,GR-I,Athens,
2a13:2dc4::/32,IS,IS-1,Reykjavik,
2a13:2dc5::/32,HU,HU-BU,Budapest,
2a13:2dc6::/32,IE,IE-L,Dublin,
2a13:2dc7::/32,IL,IL-JM,Jerusalem,
2a06:35c0::/30,US,US-DC,Washington,99301
2a06:35c4::/30,CA,CA-ON,Toronto,M4C 1E1
2a13:c900::/32,NO,NO-03,Oslo,
2a13:c901::/32,IT,IT-62,Rome,
2a13:c902::/32,LU,LU-LU,Luxembourg,
2a13:c903::/32,AU,AU-NSW,Sydney,
2a13:c904::/32,NZ,NZ-AUK,Auckland,
2a13:c905::/32,IN,IN-DL,Delhi,
2a13:c906::/32,RU,RU-MOW,Moscow,
2a13:c907::/32,ZA,ZA-WC,Cape Town,
2a13:d700::/32,GB,GB-LND,London,E1 7DG
2a13:d701::/32,BR,BR-RJ,Rio de Janeiro,
2a13:d702::/32,JP,JP-13,Tokyo,120-0000
2a13:d703::/32,KR,KR-41,Seoul,100-032
2a13:d704::/32,ID,ID-JK,Jakarta,
2a13:d705::/32,MY,MY-14,Kuala Lumpur,
2a13:d706::/32,PH,PH-00,Manila,
2a13:d707::/32,TH,TH-10,Bangkok,10160
2a11:e101::/32,IT,IT-62,Rome,144
2a13:92c0::/29,US,US-DC,Washington,99301
2a0d:77c0::/29,US,US-NY,New York,
2a0e:7780::/29,PL,PL-14,Warsaw,00-022
2a0f:e000::/29,AE,AE-AZ,Abu Dhabi,00000
2a13:68c0::/30,DE,DE-BE,Berlin,10179
2a13:68c4::/30,FR,FR-IDF,Paris,75001
2a13:69c0::/30,NL,NL-NH,Amsterdam,1012
2a13:69c4::/30,CH,CH-ZH,Zurich, 8001
2a0f:5ec0::/30,SE,SE-AB,Stockholm,111 22
2a0f:5ec4::/30,BE,BE-BRU,Brussels,1120
2a0f:7fc0::/30,AT,AT-9,Vienna, 1010
2a0f:7fc4::/30,ES,ES-MD,Madrid,28001
2a0f:edc0::/29,RU,RU-MOW,Moscow,
2a11:f080::/29,US,US-DC,Washington,99301
2a11:6600::/29,CA,CA-ON,Toronto,M4C 1E1
2a11:d400::/29,GB,GB-LND,London,E1 7DG
2a11:6c00::/30,IT,IT-62,Rome,
2a11:6c04::/30,UA,UA-30,Kyiv,
2a13:6a40::/30,IS,IS-1,Reykjavik,
2a13:6a44::/30,IE,IE-L,Dublin,
2a13:6ac0::/32,GR,GR-I,Athens,
2a13:6ac1::/32,FI,FI-18,Helsinki,
2a13:6ac2::/32,BG,BG-23,Sofia,
2a13:6ac3::/32,HR,HR-21,Zagreb,
2a13:6ac4::/32,CY,CY-01,Nicosia,
2a13:6ac5::/32,CZ,CZ-10,Prague,
2a13:6ac6::/32,DK,DK-84,Copenhagen,2750
2a13:6ac7::/32,EE,EE-37,Tallinn,
2a13:6bc0::/32,LT,LT-VL,Vilnius,01001
2a13:6bc1::/32,LU,LU-LU,Luxembourg,
2a13:6bc2::/32,MT,MT-07,Rabat,10010
2a13:6bc3::/32,LV,LV-RIX,Riga,
2a13:6bc4::/32,PL,PL-14,Warsaw,00-022
2a13:6bc5::/32,PT,PT-11,Lisbon ,1000-010
2a13:6bc6::/32,RO,RO-B,Bucharest,010011
2a13:6bc7::/32,SK,SK-BL,Bratislava,851 01
2a13:4680::/32,SI,SI-061,Ljubljana,1000
